Nodes,Procs,Threads,Datapoints,Dim,Reps,Total,MCMC,lhood,mvmul,reduction,upd_data,upd_values,acc_init
1,36,1,10000,10,1,0.487,0.455,0.326,0.043,0.280,0.000,0.001,0.000
1,36,1,10000,10,2,0.361,0.335,0.246,0.043,0.200,0.000,0.001,0.000
1,36,1,10000,10,3,0.378,0.346,0.257,0.043,0.211,0.000,0.001,0.000
2,36,1,10000,10,1,0.784,0.761,0.483,0.023,0.458,0.000,0.001,0.000
2,36,1,10000,10,2,0.388,0.363,0.282,0.023,0.256,0.000,0.001,0.000
2,36,1,10000,10,3,0.387,0.363,0.284,0.023,0.259,0.000,0.001,0.000
3,36,1,10000,10,1,0.401,0.379,0.306,0.016,0.287,0.000,0.001,0.000
3,36,1,10000,10,2,0.426,0.404,0.328,0.016,0.310,0.000,0.001,0.000
3,36,1,10000,10,3,0.425,0.402,0.326,0.016,0.308,0.000,0.001,0.000
4,36,1,10000,10,1,0.406,0.384,0.305,0.012,0.290,0.000,0.001,0.000
4,36,1,10000,10,2,0.421,0.400,0.322,0.012,0.307,0.000,0.001,0.000
4,36,1,10000,10,3,0.401,0.379,0.299,0.012,0.284,0.000,0.001,0.000
6,36,1,10000,10,1,0.457,0.436,0.358,0.009,0.347,0.000,0.001,0.000
6,36,1,10000,10,2,0.485,0.463,0.390,0.009,0.379,0.000,0.001,0.000
6,36,1,10000,10,3,0.447,0.426,0.348,0.009,0.337,0.000,0.001,0.000
8,36,1,10000,10,1,0.455,0.433,0.358,0.007,0.349,0.000,0.001,0.000
8,36,1,10000,10,2,0.491,0.470,0.399,0.007,0.389,0.000,0.001,0.000
8,36,1,10000,10,3,0.430,0.409,0.332,0.007,0.323,0.000,0.001,0.000
1,36,1,100000,10,1,1.518,1.492,1.167,0.426,0.737,0.000,0.001,0.000
1,36,1,100000,10,2,1.546,1.518,1.189,0.428,0.758,0.000,0.001,0.000
1,36,1,100000,10,3,1.533,1.509,1.179,0.427,0.749,0.000,0.001,0.000
2,36,1,100000,10,1,1.217,1.193,0.788,0.208,0.578,0.000,0.001,0.000
2,36,1,100000,10,2,1.102,1.081,0.742,0.208,0.532,0.000,0.001,0.000
2,36,1,100000,10,3,1.090,1.068,0.740,0.207,0.530,0.000,0.001,0.000
3,36,1,100000,10,1,0.978,0.956,0.637,0.138,0.496,0.000,0.001,0.000
3,36,1,100000,10,2,0.988,0.965,0.648,0.139,0.507,0.000,0.001,0.000
3,36,1,100000,10,3,0.975,0.953,0.627,0.138,0.487,0.000,0.001,0.000
4,36,1,100000,10,1,0.917,0.894,0.571,0.104,0.465,0.000,0.001,0.000
4,36,1,100000,10,2,0.925,0.902,0.577,0.104,0.470,0.000,0.001,0.000
4,36,1,100000,10,3,0.884,0.864,0.548,0.104,0.442,0.000,0.001,0.000
6,36,1,100000,10,1,0.903,0.881,0.551,0.070,0.479,0.000,0.001,0.000
6,36,1,100000,10,2,0.894,0.874,0.549,0.070,0.477,0.000,0.001,0.000
6,36,1,100000,10,3,0.860,0.840,0.522,0.070,0.449,0.000,0.001,0.000
8,36,1,100000,10,1,0.844,0.824,0.507,0.053,0.452,0.000,0.001,0.000
8,36,1,100000,10,2,0.838,0.818,0.497,0.053,0.442,0.000,0.001,0.000
8,36,1,100000,10,3,0.818,0.797,0.479,0.053,0.423,0.000,0.001,0.000
1,36,1,1000000,10,1,13.900,13.872,11.120,5.114,6.002,0.000,0.001,0.000
1,36,1,1000000,10,2,13.873,13.846,11.104,5.090,6.009,0.000,0.001,0.000
1,36,1,1000000,10,3,13.909,13.887,11.142,5.119,6.020,0.000,0.001,0.000
2,36,1,1000000,10,1,7.974,7.952,5.209,2.071,3.134,0.000,0.001,0.000
2,36,1,1000000,10,2,8.349,8.327,5.415,2.074,3.338,0.000,0.001,0.000
2,36,1,1000000,10,3,8.107,8.075,5.323,2.076,3.244,0.000,0.001,0.000
3,36,1,1000000,10,1,6.392,6.370,3.627,1.389,2.234,0.000,0.001,0.000
3,36,1,1000000,10,2,6.452,6.427,3.676,1.390,2.283,0.000,0.001,0.000
3,36,1,1000000,10,3,6.899,6.876,4.002,1.389,2.609,0.000,0.001,0.000
4,36,1,1000000,10,1,5.745,5.723,2.979,1.049,1.927,0.000,0.001,0.000
4,36,1,1000000,10,2,5.917,5.896,3.065,1.049,2.012,0.000,0.001,0.000
4,36,1,1000000,10,3,5.743,5.722,2.985,1.048,1.934,0.000,0.001,0.000
6,36,1,1000000,10,1,5.035,5.015,2.269,0.707,1.559,0.000,0.001,0.000
6,36,1,1000000,10,2,4.950,4.929,2.183,0.707,1.473,0.000,0.001,0.000
6,36,1,1000000,10,3,4.843,4.823,2.079,0.707,1.369,0.000,0.001,0.000
8,36,1,1000000,10,1,4.425,4.405,1.657,0.535,1.118,0.000,0.001,0.000
8,36,1,1000000,10,2,4.504,4.484,1.739,0.535,1.201,0.000,0.001,0.000
8,36,1,1000000,10,3,4.421,4.402,1.659,0.535,1.121,0.000,0.001,0.000
1,36,1,10000000,10,1,229.171,229.143,201.986,141.721,60.251,0.000,0.003,0.000
1,36,1,10000000,10,2,238.274,238.245,201.501,141.574,59.914,0.000,0.003,0.000
1,36,1,10000000,10,3,228.587,228.562,201.440,141.504,59.922,0.000,0.003,0.000
2,36,1,10000000,10,1,128.944,128.920,101.806,70.208,31.587,0.000,0.003,0.000
2,36,1,10000000,10,2,131.789,131.765,102.923,70.162,32.750,0.000,0.003,0.000
2,36,1,10000000,10,3,128.827,128.804,101.683,70.186,31.486,0.000,0.003,0.000
3,36,1,10000000,10,1,95.018,94.988,67.848,45.969,21.868,0.000,0.003,0.000
3,36,1,10000000,10,2,94.481,94.451,67.348,45.896,21.443,0.000,0.003,0.000
3,36,1,10000000,10,3,95.120,95.099,67.982,45.927,22.045,0.000,0.003,0.000
4,36,1,10000000,10,1,80.806,80.782,51.502,32.888,18.605,0.000,0.003,0.000
4,36,1,10000000,10,2,80.033,80.001,50.897,32.862,18.026,0.000,0.003,0.000
4,36,1,10000000,10,3,78.737,78.715,51.123,32.854,18.260,0.000,0.003,0.000
6,36,1,10000000,10,1,56.661,56.638,29.545,17.878,11.662,0.000,0.002,0.000
6,36,1,10000000,10,2,59.992,59.964,31.693,17.938,13.749,0.000,0.002,0.000
6,36,1,10000000,10,3,57.301,57.280,30.176,17.895,12.276,0.000,0.002,0.000
8,36,1,10000000,10,1,45.040,45.013,17.946,8.512,9.429,0.000,0.001,0.000
8,36,1,10000000,10,2,55.611,55.589,27.155,8.464,18.687,0.000,0.001,0.000
8,36,1,10000000,10,3,44.733,44.712,17.648,8.502,9.142,0.000,0.001,0.000
