Nodes,Procs,Threads,Datapoints,Dim,Reps,Total,MCMC,lhood,mvmul,reduction,upd_data,upd_values,acc_init
1,1,1,10000,10,1,0.535,0.407,0.360,0.158,0.201,0.000,0.001,0.000
1,1,1,10000,10,2,0.520,0.423,0.360,0.158,0.201,0.000,0.001,0.000
1,1,1,10000,10,3,0.478,0.415,0.360,0.158,0.201,0.000,0.001,0.000
1,2,1,10000,10,1,0.296,0.241,0.196,0.081,0.115,0.000,0.001,0.000
1,2,1,10000,10,2,0.320,0.260,0.205,0.082,0.123,0.000,0.001,0.000
1,2,1,10000,10,3,0.297,0.247,0.196,0.082,0.114,0.000,0.001,0.000
1,4,1,10000,10,1,0.188,0.172,0.123,0.043,0.080,0.000,0.001,0.000
1,4,1,10000,10,2,0.193,0.175,0.124,0.043,0.081,0.000,0.001,0.000
1,4,1,10000,10,3,0.208,0.181,0.127,0.043,0.084,0.000,0.001,0.000
1,8,1,10000,10,1,0.136,0.128,0.075,0.023,0.052,0.000,0.001,0.000
1,8,1,10000,10,2,0.259,0.246,0.180,0.021,0.159,0.000,0.001,0.000
1,8,1,10000,10,3,0.141,0.127,0.077,0.022,0.055,0.000,0.001,0.000
1,10,1,10000,10,1,0.155,0.116,0.068,0.017,0.051,0.000,0.001,0.000
1,10,1,10000,10,2,0.130,0.123,0.073,0.017,0.056,0.000,0.001,0.000
1,10,1,10000,10,3,0.124,0.115,0.067,0.018,0.049,0.000,0.001,0.000
1,15,1,10000,10,1,0.101,0.082,0.043,0.012,0.031,0.000,0.000,0.000
1,15,1,10000,10,2,0.118,0.108,0.060,0.013,0.047,0.000,0.001,0.000
1,15,1,10000,10,3,0.122,0.111,0.063,0.013,0.050,0.000,0.001,0.000
1,17,1,10000,10,1,0.129,0.120,0.072,0.012,0.060,0.000,0.001,0.000
1,17,1,10000,10,2,0.124,0.116,0.066,0.012,0.054,0.000,0.001,0.000
1,17,1,10000,10,3,0.130,0.122,0.076,0.012,0.064,0.000,0.000,0.000
1,21,1,10000,10,1,0.108,0.101,0.050,0.009,0.040,0.000,0.001,0.000
1,21,1,10000,10,2,0.108,0.100,0.047,0.010,0.037,0.000,0.001,0.000
1,21,1,10000,10,3,0.110,0.103,0.050,0.010,0.040,0.000,0.001,0.000
1,24,1,10000,10,1,0.100,0.092,0.040,0.008,0.031,0.000,0.001,0.000
1,24,1,10000,10,2,0.099,0.093,0.046,0.008,0.037,0.000,0.001,0.000
1,24,1,10000,10,3,0.077,0.069,0.031,0.007,0.024,0.000,0.000,0.000
1,28,1,10000,10,1,0.138,0.130,0.082,0.006,0.076,0.000,0.000,0.000
1,28,1,10000,10,2,0.113,0.105,0.057,0.006,0.051,0.000,0.000,0.000
1,28,1,10000,10,3,0.075,0.070,0.032,0.006,0.026,0.000,0.000,0.000
1,32,1,10000,10,1,0.105,0.097,0.047,0.006,0.041,0.000,0.000,0.000
1,32,1,10000,10,2,0.095,0.089,0.039,0.006,0.032,0.000,0.001,0.000
1,32,1,10000,10,3,0.071,0.066,0.028,0.005,0.023,0.000,0.000,0.000
1,36,1,10000,10,1,0.093,0.087,0.038,0.006,0.032,0.000,0.001,0.000
1,36,1,10000,10,2,0.094,0.087,0.039,0.005,0.033,0.000,0.001,0.000
1,36,1,10000,10,3,0.103,0.096,0.048,0.005,0.042,0.000,0.001,0.000
1,1,1,100000,10,1,3.977,3.890,3.577,1.557,2.019,0.000,0.001,0.000
1,1,1,100000,10,2,3.954,3.873,3.575,1.557,2.018,0.000,0.001,0.000
1,1,1,100000,10,3,3.951,3.874,3.572,1.554,2.018,0.000,0.001,0.000
1,2,1,100000,10,1,2.155,2.098,1.802,0.778,1.024,0.000,0.001,0.000
1,2,1,100000,10,2,2.179,2.114,1.813,0.778,1.034,0.000,0.001,0.000
1,2,1,100000,10,3,2.147,2.099,1.805,0.778,1.027,0.000,0.001,0.000
1,4,1,100000,10,1,1.252,1.229,0.932,0.391,0.541,0.000,0.001,0.000
1,4,1,100000,10,2,1.238,1.216,0.927,0.390,0.537,0.000,0.001,0.000
1,4,1,100000,10,3,1.263,1.230,0.931,0.390,0.540,0.000,0.001,0.000
1,8,1,100000,10,1,0.808,0.790,0.482,0.197,0.285,0.000,0.001,0.000
1,8,1,100000,10,2,0.766,0.749,0.466,0.197,0.269,0.000,0.001,0.000
1,8,1,100000,10,3,0.800,0.788,0.487,0.197,0.290,0.000,0.001,0.000
1,10,1,100000,10,1,0.720,0.705,0.404,0.158,0.246,0.000,0.001,0.000
1,10,1,100000,10,2,0.671,0.662,0.379,0.158,0.220,0.000,0.001,0.000
1,10,1,100000,10,3,0.712,0.694,0.389,0.158,0.231,0.000,0.001,0.000
1,15,1,100000,10,1,0.679,0.671,0.363,0.118,0.244,0.000,0.001,0.000
1,15,1,100000,10,2,0.679,0.670,0.363,0.119,0.244,0.000,0.001,0.000
1,15,1,100000,10,3,0.678,0.670,0.363,0.118,0.244,0.000,0.001,0.000
1,17,1,100000,10,1,0.749,0.739,0.434,0.105,0.329,0.000,0.001,0.000
1,17,1,100000,10,2,0.749,0.741,0.435,0.105,0.330,0.000,0.001,0.000
1,17,1,100000,10,3,0.758,0.746,0.441,0.105,0.335,0.000,0.001,0.000
1,21,1,100000,10,1,0.582,0.572,0.267,0.083,0.184,0.000,0.001,0.000
1,21,1,100000,10,2,0.587,0.577,0.273,0.083,0.190,0.000,0.001,0.000
1,21,1,100000,10,3,0.581,0.572,0.268,0.083,0.184,0.000,0.001,0.000
1,24,1,100000,10,1,0.465,0.459,0.174,0.068,0.106,0.000,0.001,0.000
1,24,1,100000,10,2,0.497,0.489,0.185,0.068,0.117,0.000,0.001,0.000
1,24,1,100000,10,3,0.496,0.489,0.185,0.068,0.117,0.000,0.001,0.000
1,28,1,100000,10,1,0.495,0.487,0.205,0.060,0.144,0.000,0.001,0.000
1,28,1,100000,10,2,0.519,0.513,0.212,0.060,0.152,0.000,0.001,0.000
1,28,1,100000,10,3,0.520,0.511,0.207,0.060,0.147,0.000,0.001,0.000
1,32,1,100000,10,1,0.442,0.435,0.152,0.052,0.100,0.000,0.001,0.000
1,32,1,100000,10,2,0.457,0.450,0.147,0.051,0.096,0.000,0.001,0.000
1,32,1,100000,10,3,0.453,0.446,0.144,0.051,0.092,0.000,0.001,0.000
1,36,1,100000,10,1,0.442,0.434,0.131,0.046,0.085,0.000,0.001,0.000
1,36,1,100000,10,2,0.446,0.439,0.139,0.046,0.093,0.000,0.001,0.000
1,36,1,100000,10,3,0.457,0.450,0.150,0.046,0.104,0.000,0.001,0.000
1,1,1,1000000,10,1,43.577,43.445,39.651,19.470,20.180,0.000,0.001,0.000
1,1,1,1000000,10,2,43.224,43.070,39.568,19.484,20.083,0.000,0.001,0.000
1,1,1,1000000,10,3,42.937,42.860,39.636,19.460,20.175,0.000,0.001,0.000
1,2,1,1000000,10,1,22.793,22.752,20.015,9.926,10.088,0.000,0.001,0.000
1,2,1,1000000,10,2,22.781,22.753,20.025,9.943,10.081,0.000,0.001,0.000
1,2,1,1000000,10,3,22.796,22.758,20.031,9.922,10.108,0.000,0.001,0.000
1,4,1,1000000,10,1,13.037,13.009,10.283,5.169,5.113,0.000,0.001,0.000
1,4,1,1000000,10,2,13.002,12.983,10.259,5.180,5.078,0.000,0.001,0.000
1,4,1,1000000,10,3,12.991,12.961,10.240,5.163,5.076,0.000,0.001,0.000
1,8,1,1000000,10,1,8.219,8.207,5.477,2.879,2.598,0.000,0.001,0.000
1,8,1,1000000,10,2,8.182,8.170,5.436,2.861,2.574,0.000,0.001,0.000
1,8,1,1000000,10,3,8.211,8.189,5.466,2.895,2.569,0.000,0.001,0.000
1,10,1,1000000,10,1,7.425,7.415,4.679,2.593,2.085,0.000,0.001,0.000
1,10,1,1000000,10,2,7.423,7.416,4.676,2.583,2.092,0.000,0.001,0.000
1,10,1,1000000,10,3,7.403,7.390,4.655,2.583,2.072,0.000,0.001,0.000
1,15,1,1000000,10,1,8.091,8.081,5.340,2.533,2.807,0.000,0.001,0.000
