Nodes,Procs,Threads,Datapoints,Dim,Reps,Total,MCMC,lhood,mvmul,reduction,upd_data,upd_values,acc_init
1,1,1,10000,10,1,0.639,0.542,0.484,0.268,0.215,0.000,0.001,0.000
1,1,1,10000,10,2,0.562,0.510,0.450,0.248,0.202,0.000,0.001,0.000
1,1,1,10000,10,3,0.607,0.509,0.450,0.248,0.202,0.000,0.000,0.000
1,1,2,10000,10,1,0.405,0.270,0.193,0.084,0.108,0.000,0.003,0.000
1,1,2,10000,10,2,0.353,0.260,0.194,0.085,0.108,0.000,0.003,0.000
1,1,2,10000,10,3,0.370,0.271,0.191,0.084,0.106,0.000,0.003,0.000
1,1,4,10000,10,1,0.317,0.187,0.105,0.046,0.058,0.000,0.004,0.000
1,1,4,10000,10,2,0.240,0.173,0.101,0.044,0.056,0.000,0.003,0.000
1,1,4,10000,10,3,0.202,0.165,0.100,0.044,0.055,0.000,0.003,0.000
1,1,8,10000,10,1,0.326,0.188,0.080,0.034,0.045,0.000,0.004,0.000
1,1,8,10000,10,2,0.268,0.158,0.074,0.031,0.041,0.000,0.004,0.000
1,1,8,10000,10,3,0.215,0.128,0.063,0.024,0.037,0.000,0.004,0.000
1,1,10,10000,10,1,0.270,0.139,0.067,0.028,0.037,0.000,0.005,0.000
1,1,10,10000,10,2,0.251,0.116,0.064,0.027,0.036,0.000,0.005,0.000
1,1,10,10000,10,3,0.219,0.130,0.066,0.027,0.038,0.000,0.005,0.000
1,1,15,10000,10,1,0.300,0.114,0.060,0.022,0.037,0.000,0.006,0.000
1,1,15,10000,10,2,0.189,0.112,0.061,0.022,0.038,0.000,0.006,0.000
1,1,15,10000,10,3,0.248,0.121,0.056,0.019,0.036,0.000,0.005,0.000
1,1,17,10000,10,1,0.205,0.121,0.059,0.018,0.040,0.000,0.006,0.000
1,1,17,10000,10,2,0.208,0.121,0.059,0.018,0.040,0.000,0.006,0.000
1,1,17,10000,10,3,0.230,0.119,0.064,0.020,0.043,0.000,0.006,0.000
1,1,21,10000,10,1,0.222,0.108,0.058,0.014,0.043,0.000,0.005,0.000
1,1,21,10000,10,2,0.248,0.122,0.061,0.014,0.045,0.000,0.005,0.000
1,1,21,10000,10,3,0.314,0.147,0.062,0.016,0.045,0.000,0.006,0.000
1,1,24,10000,10,1,0.403,0.128,0.066,0.016,0.049,0.000,0.007,0.000
1,1,24,10000,10,2,0.237,0.136,0.065,0.014,0.050,0.000,0.006,0.000
1,1,24,10000,10,3,0.268,0.143,0.069,0.015,0.053,0.000,0.007,0.000
1,1,28,10000,10,1,0.297,0.140,0.072,0.015,0.056,0.000,0.007,0.000
1,1,28,10000,10,2,0.296,0.148,0.071,0.015,0.055,0.000,0.008,0.000
1,1,28,10000,10,3,0.236,0.127,0.075,0.016,0.058,0.000,0.008,0.000
1,1,32,10000,10,1,0.225,0.133,0.080,0.015,0.064,0.000,0.008,0.000
1,1,32,10000,10,2,0.261,0.139,0.079,0.015,0.063,0.000,0.008,0.000
1,1,32,10000,10,3,0.259,0.152,0.082,0.015,0.066,0.000,0.008,0.000
1,1,36,10000,10,1,0.271,0.169,0.087,0.014,0.071,0.000,0.009,0.000
1,1,36,10000,10,2,0.242,0.163,0.080,0.015,0.064,0.000,0.008,0.000
1,1,36,10000,10,3,0.255,0.148,0.081,0.014,0.065,0.000,0.008,0.000
1,1,1,100000,10,1,5.433,5.272,4.912,2.895,2.017,0.000,0.001,0.000
1,1,1,100000,10,2,5.481,5.328,4.929,2.908,2.021,0.000,0.001,0.000
1,1,1,100000,10,3,5.400,5.297,4.915,2.897,2.018,0.000,0.001,0.000
1,1,2,100000,10,1,2.308,2.172,1.793,0.781,1.012,0.000,0.003,0.000
