#Iter,cPrior,cLhood,cPost,pPrior,pLhood,pPost
     1,-1.24318639984578667e+02,-1.12190839497782500e+06,-1.12203271361780958e+06,-1.24318639983826728e+02,-2.70326435937362537e+06,-2.70338867801360926e+06
   100,-1.24318639984578667e+02,-1.12190839497782500e+06,-1.12203271361780958e+06,-1.24318639984736080e+02,-2.20004213017520402e+06,-2.20016644881518884e+06
   200,-1.24318639984578667e+02,-1.12190839497782500e+06,-1.12203271361780958e+06,-1.24318639984443195e+02,-2.71576808655822277e+06,-2.71589240519820713e+06
   300,-1.24318639984578667e+02,-1.12190839497782500e+06,-1.12203271361780958e+06,-1.24318639984086673e+02,-3.22306413024703646e+06,-3.22318844888702035e+06
   400,-1.24318639984578667e+02,-1.12190839497782500e+06,-1.12203271361780958e+06,-1.24318639985136272e+02,-1.79303686532895104e+06,-1.79316118396893609e+06
   500,-1.24318639984578667e+02,-1.12190839497782500e+06,-1.12203271361780958e+06,-1.24318639984982070e+02,-5.26486114463811088e+06,-5.26498546327809617e+06
   600,-1.24318639984578667e+02,-1.12190839497782500e+06,-1.12203271361780958e+06,-1.24318639984955524e+02,-2.07220484778813436e+06,-2.07232916642811941e+06
   700,-1.24318639984578667e+02,-1.12190839497782500e+06,-1.12203271361780958e+06,-1.24318639984169437e+02,-2.98148400906847883e+06,-2.98160832770846318e+06
   800,-1.24318639984578667e+02,-1.12190839497782500e+06,-1.12203271361780958e+06,-1.24318639984083688e+02,-4.01833326691510202e+06,-4.01845758555508591e+06
   900,-1.24318639984578667e+02,-1.12190839497782500e+06,-1.12203271361780958e+06,-1.24318639984846101e+02,-3.20882377962521650e+06,-3.20894809826520132e+06
  1000,-1.24318639984299551e+02,-1.11696883404183015e+06,-1.11709315268181451e+06,-1.24318639985404189e+02,-3.00697138380628824e+06,-3.00709570244627353e+06
