Nodes,Procs,Threads,Datapoints,Dim,Reps,Total,MCMC,lhood,mvmul,reduction,upd_data,upd_values,acc_init
1,1,1,10000,10,1,0.657,0.568,0.468,0.251,0.217,0.0,0.0,0.0
1,1,1,10000,10,2,0.586,0.524,0.439,0.236,0.203,0.0,0.0,0.0
1,1,1,10000,10,3,0.619,0.535,0.437,0.234,0.202,0.0,0.0,0.0
1,1,1,100000,10,1,4.975,4.876,4.406,2.352,2.053,0.0,0.0,0.0
1,1,1,100000,10,2,4.950,4.812,4.407,2.353,2.054,0.0,0.0,0.0
1,1,1,100000,10,3,4.963,4.874,4.425,2.362,2.062,0.0,0.0,0.0
1,1,1,1000000,10,1,48.889,48.804,45.671,25.411,20.259,0.0,0.0,0.0
1,1,1,1000000,10,2,48.921,48.797,45.685,25.429,20.256,0.0,0.0,0.0
1,1,1,1000000,10,3,48.881,48.753,45.656,25.395,20.260,0.0,0.0,0.0
1,1,1,10000000,10,1,486.895,486.812,457.955,255.504,202.450,0.0,0.0,0.0
1,1,1,10000000,10,2,487.348,487.211,458.655,256.152,202.502,0.0,0.0,0.0
1,1,1,10000000,10,3,487.448,487.342,458.745,256.233,202.510,0.0,0.0,0.0
