Nodes,Procs,Threads,Datapoints,Dim,Reps,Total,MCMC,lhood,mvmul,reduction,upd_data,upd_values,acc_init
1,1,1,10000,10,1,4.765,0.258,0.098,0.028,0.069,0.028,0.018,4.116
1,1,1,10000,10,2,4.712,0.191,0.098,0.028,0.070,0.027,0.018,4.110
1,1,1,10000,10,3,4.732,0.190,0.098,0.028,0.069,0.026,0.018,4.156
1,1,1,100000,10,1,5.139,0.520,0.127,0.051,0.076,0.032,0.018,4.209
1,1,1,100000,10,2,5.012,0.465,0.127,0.051,0.076,0.030,0.018,4.162
1,1,1,100000,10,3,4.905,0.467,0.127,0.051,0.076,0.030,0.018,4.040
1,1,1,1000000,10,1,7.934,3.407,0.380,0.261,0.118,0.054,0.018,4.142
1,1,1,1000000,10,2,7.850,3.205,0.381,0.260,0.120,0.054,0.018,4.245
1,1,1,1000000,10,3,7.762,3.196,0.378,0.259,0.118,0.054,0.017,4.157
1,1,1,10000000,10,1,35.992,31.506,3.093,2.533,0.560,0.285,0.018,4.101
1,1,1,10000000,10,2,35.322,30.647,3.094,2.533,0.560,0.291,0.018,4.242
1,1,1,10000000,10,3,35.225,30.572,3.093,2.535,0.558,0.283,0.018,4.240
